"id" "symbol"
"ENSMUSG00000092203" "ENSMUSG00000092203" "1110038B12Rik"
"ENSMUSG00000035171" "ENSMUSG00000035171" "1110059E24Rik"
"ENSMUSG00000033688" "ENSMUSG00000033688" "1300017J02Rik"
"ENSMUSG00000054676" "ENSMUSG00000054676" "1600014C10Rik"
"ENSMUSG00000031927" "ENSMUSG00000031927" "1700012B09Rik"
"ENSMUSG00000032300" "ENSMUSG00000032300" "1700017B05Rik"
"ENSMUSG00000035085" "ENSMUSG00000035085" "1700020L24Rik"
"ENSMUSG00000071653" "ENSMUSG00000071653" "1810009A15Rik"
"ENSMUSG00000054091" "ENSMUSG00000054091" "1810037I17Rik"
"ENSMUSG00000021550" "ENSMUSG00000021550" "2210016F16Rik"
"ENSMUSG00000031983" "ENSMUSG00000031983" "2310022B05Rik"
"ENSMUSG00000071632" "ENSMUSG00000071632" "2510002D24Rik"
"ENSMUSG00000087259" "ENSMUSG00000087259" "2610035D17Rik"
"ENSMUSG00000031984" "ENSMUSG00000031984" "2810004N23Rik"
"ENSMUSG00000051339" "ENSMUSG00000051339" "2900026A02Rik"
"ENSMUSG00000048106" "ENSMUSG00000048106" "4632415L05Rik"
"ENSMUSG00000050345" "ENSMUSG00000050345" "4930486L24Rik"
"ENSMUSG00000112364" "ENSMUSG00000112364" "4930503E24Rik"
"ENSMUSG00000031938" "ENSMUSG00000031938" "4931406C07Rik"
"ENSMUSG00000113769" "ENSMUSG00000113769" "5033406O09Rik"
"ENSMUSG00000097471" "ENSMUSG00000097471" "5830432E09Rik"
"ENSMUSG00000022195" "ENSMUSG00000022195" "6030458C11Rik"
"ENSMUSG00000036275" "ENSMUSG00000036275" "9530068E07Rik"
"ENSMUSG00000057230" "ENSMUSG00000057230" "Aak1"
"ENSMUSG00000024130" "ENSMUSG00000024130" "Abca3"
"ENSMUSG00000031974" "ENSMUSG00000031974" "Abcb10"
"ENSMUSG00000028970" "ENSMUSG00000028970" "Abcb1b"
"ENSMUSG00000042476" "ENSMUSG00000042476" "Abcb4"
"ENSMUSG00000026198" "ENSMUSG00000026198" "Abcb6"
"ENSMUSG00000032849" "ENSMUSG00000032849" "Abcc4"
"ENSMUSG00000031378" "ENSMUSG00000031378" "Abcd1"
"ENSMUSG00000055782" "ENSMUSG00000055782" "Abcd2"
"ENSMUSG00000058355" "ENSMUSG00000058355" "Abce1"
"ENSMUSG00000024030" "ENSMUSG00000024030" "Abcg1"
