"ID","Name","Species","GeneID","Family","Evidence"
"T004902_1.02","Tcfap2a","Mus_musculus","ENSMUSG00000021359","AP-2","D"
"T004903_1.02","Tcfap2b","Mus_musculus","ENSMUSG00000025927","AP-2","D"
"T004904_1.02","Tcfap2c","Mus_musculus","ENSMUSG00000028640","AP-2","D"
"T004905_1.02","Tcfap2e","Mus_musculus","ENSMUSG00000042477","AP-2","D"
"T007534_1.02","Arid3a","Mus_musculus","ENSMUSG00000019564","ARID/BRIGHT","D"
"T007532_1.02","Arid3b","Mus_musculus","ENSMUSG00000004661","ARID/BRIGHT","D"
"T007538_1.02","Arid5a","Mus_musculus","ENSMUSG00000037447","ARID/BRIGHT","D"
"T007535_1.02","Arid5b","Mus_musculus","ENSMUSG00000019947","ARID/BRIGHT","D"
"T008693_1.02","Ahctf1","Mus_musculus","ENSMUSG00000026491","AT hook","D"
"T008695_1.02","Hmga2","Mus_musculus","ENSMUSG00000056758","AT hook","D"
"T008696_1.02","Phf21a","Mus_musculus","ENSMUSG00000058318","AT hook","D"
"T008692_1.02","Setbp1","Mus_musculus","ENSMUSG00000024548","AT hook","D"
"T015149_1.02","Arnt","Mus_musculus","ENSMUSG00000015522","bHLH","D"
"T015150_1.02","Arnt2","Mus_musculus","ENSMUSG00000015709","bHLH","D"
"T015232_1.02","Arntl","Mus_musculus","ENSMUSG00000055116","bHLH","D"
"T015147_1.02","Ascl2","Mus_musculus","ENSMUSG00000009248","bHLH","D"
"T015240_1.02","Atoh1","Mus_musculus","ENSMUSG00000073043","bHLH","D"
"T015230_1.02","Bhlha15","Mus_musculus","ENSMUSG00000052271","bHLH","D"
"T015170_1.02","Bhlhe22","Mus_musculus","ENSMUSG00000025128","bHLH","D"
"T015187_1.02","Bhlhe40","Mus_musculus","ENSMUSG00000030103","bHLH","D"
"T015188_1.02","Bhlhe41","Mus_musculus","ENSMUSG00000030256","bHLH","D"
"T015184_1.02","Clock","Mus_musculus","ENSMUSG00000029238","bHLH","D"
"T015233_1.02","Ebf1","Mus_musculus","ENSMUSG00000057098","bHLH","D"
"T015186_1.02","Figla","Mus_musculus","ENSMUSG00000030001","bHLH","D"
"T015166_1.02","Hes1","Mus_musculus","ENSMUSG00000022528","bHLH","D"
"T015182_1.02","Hes2","Mus_musculus","ENSMUSG00000028940","bHLH","D"
"T015225_1.02","Hes5","Mus_musculus","ENSMUSG00000048001","bHLH","D"
"T015167_1.02","Hes7","Mus_musculus","ENSMUSG00000023781","bHLH","D"
"T015153_1.02","Hey2","Mus_musculus","ENSMUSG00000019789","bHLH","D"
"T015140_1.02","Hif3a","Mus_musculus","ENSMUSG00000004328","bHLH","D"
"T015158_1.02","Id2","Mus_musculus","ENSMUSG00000020644","bHLH","D"
"T015234_1.02","Max","Mus_musculus","ENSMUSG00000059436","bHLH","D"
"T015196_1.02","Mitf","Mus_musculus","ENSMUSG00000035158","bHLH","D"
"T015151_1.02","Mlx","Mus_musculus","ENSMUSG00000017801","bHLH","D"
"T015208_1.02","Mlxip","Mus_musculus","ENSMUSG00000038342","bHLH","D"
"T015136_1.02","Mnt","Mus_musculus","ENSMUSG00000000282","bHLH","D"
"T015171_1.02","Msc","Mus_musculus","ENSMUSG00000025930","bHLH","D"
"T015164_1.02","Myc","Mus_musculus","ENSMUSG00000022346","bHLH","D"
"T015201_1.02","Mycn","Mus_musculus","ENSMUSG00000037169","bHLH","D"
"T015198_1.02","Myf6","Mus_musculus","ENSMUSG00000035923","bHLH","D"
"T015148_1.02","Myod1","Mus_musculus","ENSMUSG00000009471","bHLH","D"
"T015173_1.02","Myog","Mus_musculus","ENSMUSG00000026459","bHLH","D"
"T015228_1.02","Neurog1","Mus_musculus","ENSMUSG00000048904","bHLH","D"
"T015227_1.02","Nhlh2","Mus_musculus","ENSMUSG00000048540","bHLH","D"
"T015172_1.02","Npas2","Mus_musculus","ENSMUSG00000026077","bHLH","D"
"T015218_1.02","Olig3","Mus_musculus","ENSMUSG00000045591","bHLH","D"
"T015177_1.02","Sohlh2","Mus_musculus","ENSMUSG00000027794","bHLH","D"
"T015157_1.02","Srebf1","Mus_musculus","ENSMUSG00000020538","bHLH","D"
"T015165_1.02","Srebf2","Mus_musculus","ENSMUSG00000022463","bHLH","D"
"T015191_1.02","Tcf12","Mus_musculus","ENSMUSG00000032228","bHLH","D"
"T015219_1.02","Tcf21","Mus_musculus","ENSMUSG00000045680","bHLH","D"
"T015156_1.02","Tcf3","Mus_musculus","ENSMUSG00000020167","bHLH","D"
"T015231_1.02","Tcf4","Mus_musculus","ENSMUSG00000053477","bHLH","D"
"T015142_1.02","Tcfap4","Mus_musculus","ENSMUSG00000005718","bHLH","D"
"T015135_1.02","Tcfe3","Mus_musculus","ENSMUSG00000000134","bHLH","D"
"T015168_1.02","Tcfeb","Mus_musculus","ENSMUSG00000023990","bHLH","D"
"T015185_1.02","Tcfec","Mus_musculus","ENSMUSG00000029553","bHLH","D"
"T015209_1.02","Tcfl5","Mus_musculus","ENSMUSG00000038932","bHLH","D"
"T015145_1.02","Twist2","Mus_musculus","ENSMUSG00000007805","bHLH","D"
"T015174_1.02","Usf1","Mus_musculus","ENSMUSG00000026641","bHLH","D"
"T015242_1.02","Usf2","Mus_musculus","ENSMUSG00000089674","bHLH","D"
"T025969_1.02","9430076C15Rik","Mus_musculus","ENSMUSG00000053007","bZIP","D"
"T025920_1.02","Atf1","Mus_musculus","ENSMUSG00000023027","bZIP","D"
"T025930_1.02","Atf2","Mus_musculus","ENSMUSG00000027104","bZIP","D"
"T025927_1.02","Atf3","Mus_musculus","ENSMUSG00000026628","bZIP","D"
"T025953_1.02","Atf4","Mus_musculus","ENSMUSG00000042406","bZIP","D"
"T025965_1.02","Atf7","Mus_musculus","ENSMUSG00000052414","bZIP","D"
"T025942_1.02","Cebpa","Mus_musculus","ENSMUSG00000034957","bZIP","D"
"T025972_1.02","Cebpb","Mus_musculus","ENSMUSG00000056501","bZIP","D"
"T023888_1.02","Cebpd","Mus_musculus","BAE29047.1","bZIP","D"
"T025966_1.02","Cebpe","Mus_musculus","ENSMUSG00000052435","bZIP","D"
"T025971_1.02","Cebpg","Mus_musculus","ENSMUSG00000056216","bZIP","D"
"T025926_1.02","Creb1","Mus_musculus","ENSMUSG00000025958","bZIP","D"
"T025934_1.02","Creb3","Mus_musculus","ENSMUSG00000028466","bZIP","D"
"T025946_1.02","Creb3l2","Mus_musculus","ENSMUSG00000038648","bZIP","D"
"T025963_1.02","Crebzf","Mus_musculus","ENSMUSG00000051451","bZIP","D"
"T025979_1.02","Crem","Mus_musculus","ENSMUSG00000063889","bZIP","D"
"T025977_1.02","Dbp","Mus_musculus","ENSMUSG00000059824","bZIP","D"
"T025923_1.02","Fosl1","Mus_musculus","ENSMUSG00000024912","bZIP","D"
"T025935_1.02","Fosl2","Mus_musculus","ENSMUSG00000029135","bZIP","D"
"T025909_1.02","Hlf","Mus_musculus","ENSMUSG00000003949","bZIP","D"
