"ID","Name","Species","GeneID","Family","Evidence"
"T004847_1.02","TFAP2A","Homo_sapiens","ENSG00000137203","AP-2","D"
"T004843_1.02","TFAP2B","Homo_sapiens","ENSG00000008196","AP-2","D"
"T004845_1.02","TFAP2C","Homo_sapiens","ENSG00000087510","AP-2","D"
"T004844_1.02","TFAP2D","Homo_sapiens","ENSG00000008197","AP-2","D"
"T007405_1.02","ARID3A","Homo_sapiens","ENSG00000116017","ARID/BRIGHT","D"
"T007409_1.02","ARID5B","Homo_sapiens","ENSG00000150347","ARID/BRIGHT","D"
"T008675_1.02","HMGA1","Homo_sapiens","ENSG00000137309","AT hook","D"
"T008676_1.02","HMGA2","Homo_sapiens","ENSG00000149948","AT hook","D"
"T011054_1.02","ING4","Homo_sapiens","ENSG00000111653","BBR","D"
"T014178_1.02","AHR","Homo_sapiens","ENSG00000106546","bHLH","D"
"T014213_1.02","ARNT","Homo_sapiens","ENSG00000143437","bHLH","D"
"T014237_1.02","ARNT2","Homo_sapiens","ENSG00000172379","bHLH","D"
"T014205_1.02","ARNTL","Homo_sapiens","ENSG00000133794","bHLH","D"
"T014211_1.02","ASCL1","Homo_sapiens","ENSG00000139352","bHLH","D"
"T014236_1.02","ATOH1","Homo_sapiens","ENSG00000172238","bHLH","D"
"T014249_1.02","BHLHA15","Homo_sapiens","ENSG00000180535","bHLH","D"
"T014250_1.02","BHLHE22","Homo_sapiens","ENSG00000180828","bHLH","D"
"T014200_1.02","BHLHE23","Homo_sapiens","ENSG00000125533","bHLH","D"
"T014206_1.02","BHLHE40","Homo_sapiens","ENSG00000134107","bHLH","D"
"T014196_1.02","BHLHE41","Homo_sapiens","ENSG00000123095","bHLH","D"
"T014208_1.02","CLOCK","Homo_sapiens","ENSG00000134852","bHLH","D"
"T014225_1.02","EBF1","Homo_sapiens","ENSG00000164330","bHLH","D"
"T014187_1.02","EPAS1","Homo_sapiens","ENSG00000116016","bHLH","D"
"T014252_1.02","FIGLA","Homo_sapiens","ENSG00000183733","bHLH","D"
"T014184_1.02","HAND1","Homo_sapiens","ENSG00000113196","bHLH","D"
"T014185_1.02","HES1","Homo_sapiens","ENSG00000114315","bHLH","D"
"T014265_1.02","HES5","Homo_sapiens","ENSG00000197921","bHLH","D"
"T014247_1.02","HES7","Homo_sapiens","ENSG00000179111","bHLH","D"
"T014227_1.02","HEY1","Homo_sapiens","ENSG00000164683","bHLH","D"
"T014209_1.02","HEY2","Homo_sapiens","ENSG00000135547","bHLH","D"
"T014173_1.02","HIF1A","Homo_sapiens","ENSG00000100644","bHLH","D"
"T014235_1.02","ID4","Homo_sapiens","ENSG00000172201","bHLH","D"
"T014229_1.02","MESP1","Homo_sapiens","ENSG00000166823","bHLH","D"
"T014256_1.02","MITF","Homo_sapiens","ENSG00000187098","bHLH","D"
"T014179_1.02","MLX","Homo_sapiens","ENSG00000108788","bHLH","D"
"T014162_1.02","MLXIPL","Homo_sapiens","ENSG00000009950","bHLH","D"
"T014168_1.02","MNT","Homo_sapiens","ENSG00000070444","bHLH","D"
"T014246_1.02","MSC","Homo_sapiens","ENSG00000178860","bHLH","D"
"T014191_1.02","MXI1","Homo_sapiens","ENSG00000119950","bHLH","D"
"T014210_1.02","MYC","Homo_sapiens","ENSG00000136997","bHLH","D"
"T014207_1.02","MYCN","Homo_sapiens","ENSG00000134323","bHLH","D"
"T014181_1.02","MYF5","Homo_sapiens","ENSG00000111049","bHLH","D"
"T014180_1.02","MYF6","Homo_sapiens","ENSG00000111046","bHLH","D"
